time,re,x,y,U_x,U_y,p
9.0,393.8775510204082,0.3359375,0.4296875,-0.164848,0.192591,-0.0248827
1.0,338.7755102040817,0.2109375,0.9765625,0.517373,0.0166921,-0.0204141
2.0,595.9183673469388,0.1796875,0.4140625,-0.0149999,0.0294278,-0.00172717
6.0,100.0,0.4140625,0.6015625,-0.12973,0.161423,-0.0494205
5.0,632.6530612244899,0.5703125,0.1796875,-0.0504683,-0.00992338,0.00251559
9.0,651.0204081632653,0.7109375,0.3359375,-0.302021,-0.167576,-0.0190026
3.0,687.7551020408164,0.3359375,0.3046875,-0.0304633,0.0189021,-0.000159177
10.0,944.8979591836736,0.0078125,0.0546875,-2.72451e-05,4.62057e-05,5.44594e-05
4.0,944.8979591836736,0.7109375,0.2109375,-0.0287535,-0.0169072,0.00344026
9.0,393.8775510204082,0.2421875,0.3203125,-0.0977068,0.0987125,-0.00478308
8.0,448.9795918367347,0.6328125,0.7421875,0.130874,-0.0134516,-0.0839537
2.0,687.7551020408164,0.9453125,0.0703125,-0.00130424,-0.00172252,0.0042115
6.0,375.5102040816327,0.2265625,0.5546875,-0.0430787,0.148431,-0.0149668
8.0,448.9795918367347,0.6484375,0.3046875,-0.259228,-0.0852098,-0.00931824
0.0,375.5102040816327,0.4296875,0.6796875,0.0,0.0,0.0
9.0,963.265306122449,0.0703125,0.4765625,-0.0076899,0.0862015,-0.00666372
2.0,357.1428571428572,0.4765625,0.2109375,-0.0354071,0.00383397,0.00177469
3.0,797.9591836734694,0.2109375,0.7578125,-0.030028,0.0716181,-0.00846739
7.0,246.9387755102041,0.4296875,0.6953125,0.0245485,0.194748,-0.0624544
3.0,100.0,0.5234375,0.1171875,-0.0513703,-0.00110044,0.00459608
10.0,357.1428571428572,0.6796875,0.6484375,-0.00793758,-0.106648,-0.0950748
0.0,283.6734693877551,0.8828125,0.6015625,0.0,0.0,0.0
3.0,100.0,0.0859375,0.8359375,-0.0600778,0.229773,-0.0778214
7.0,100.0,0.3203125,0.5703125,-0.109676,0.19278,-0.0368436
7.0,504.08163265306126,0.4609375,0.7890625,0.147647,0.152433,-0.0477672
0.0,265.30612244897964,0.3359375,0.1015625,0.0,0.0,0.0
0.0,393.8775510204082,0.2578125,0.4765625,0.0,0.0,0.0
8.0,706.1224489795919,0.6640625,0.9453125,0.417262,0.0100078,-0.0461398
5.0,687.7551020408164,0.6328125,0.6796875,0.0133767,0.0838647,-0.0819364
8.0,540.8163265306123,0.4140625,0.3828125,-0.217663,0.137298,-0.01878
6.0,944.8979591836736,0.6015625,0.8203125,0.195923,0.0805919,-0.0458364
8.0,724.4897959183675,0.2890625,0.3984375,-0.0982803,0.112632,-0.00725544
6.0,761.2244897959184,0.0234375,0.5859375,-0.000396654,0.0349219,-0.0085409
8.0,1000.0,0.0390625,0.9609375,-0.0717815,0.129048,-0.023677
2.0,338.7755102040817,0.2265625,0.8984375,-0.0310375,0.0974648,-0.0182111
3.0,761.2244897959184,0.0546875,0.4140625,-0.00247374,0.0235202,-0.002118
6.0,797.9591836734694,0.5234375,0.1171875,-0.0423543,-0.00344336,0.00163909
7.0,210.20408163265307,0.8984375,0.1171875,-0.00111789,-0.00168847,0.0010883
2.0,632.6530612244899,0.3671875,0.6796875,-0.0503963,0.0481528,-0.00673718
9.0,393.8775510204082,0.3203125,0.4765625,-0.132134,0.221806,-0.0301495
7.0,797.9591836734694,0.1953125,0.9140625,-0.0129683,0.0840861,-0.012088
